,dice,jaccard,acc,precision,recall,fpr,fnr,nfpr,kap,auc,inf,mk,hd,msd,mdsd,stdsd,hd95
78,0.9808869392097904,0.9624907941511619,0.9852142333984375,0.967496744909251,0.9946529636022006,0.020606349480677646,0.005347023063577264,0.033415561037402494,0.9747484449568278,0.9870233137278726,0.9740466274557451,0.964141333553171,2.100006103515625,0.5541428123959846,0.5999984741210938,0.3803220879460126,1.2000045776367188
79,0.9780186928850458,0.9569829566119812,0.9876251220703125,0.9633874844100977,0.9931011523778733,0.014475110027197233,0.006898829274176558,0.03774173424828447,0.9760014642053249,0.9893130303493131,0.9786260606986262,0.9607099156574641,2.70001220703125,0.544769273922657,0.5999984741210938,0.3742695772078209,1.081667184829712
80,0.96913626019523,0.9401206219347379,0.9876302083333334,0.9405142878832877,0.9995549476556297,0.015245442053144778,0.0004450261663605716,0.06321989528795811,0.9614103030582436,0.9921547658902473,0.9843095317804946,0.940405343675919,4.002501010894775,0.6443458521066788,0.5999984741210938,0.5853493395260035,2.1633307218551634
81,0.9662230145288416,0.9346532454371403,0.9896087646484375,0.9348027468952063,0.9998288852450254,0.012175741643810318,0.00017108053886674403,0.06973243002805721,0.9600911313755238,0.9938265889086615,0.987653177817323,0.9347725377301934,3.000001907348633,0.6074169775947151,0.5999984741210938,0.3551711831481904,1.081664800643921
82,0.973487497943046,0.948344512114899,0.9894460042317709,0.9493844153570151,0.9988462990942003,0.01281638672032772,0.0011536746859205883,0.05325257610320145,0.9669044849005173,0.9930149692968758,0.9860299385937518,0.9491032565168724,1.749289870262146,0.5422987517823833,0.5999984741210938,0.2829616195451879,1.081663727760315
83,0.9697389286096297,0.9412555278837589,0.9859975179036459,0.9423614915430475,0.9987546755704688,0.01769853440850596,0.0012453017876805283,0.0610877145315401,0.9606403133540232,0.9905280819019068,0.9810561638038134,0.941994353015835,5.408328533172607,0.6818210724032264,0.5999984741210938,0.864382959087733,2.4000007629394533
84,0.9788588672218677,0.9585931227339449,0.9878743489583334,0.9588595882683927,0.9997101635714645,0.016746698985532642,0.0002898183148908958,0.04289311138080316,0.9766929180945247,0.9914817413497883,0.9829634826995765,0.9587445375767598,2.12131929397583,0.583886279439247,0.5999984741210938,0.34438015669502325,1.1999969482421875
85,0.9747495242174223,0.9507428157723042,0.9845530192057291,0.9507582361404877,0.9999829239170434,0.022001913050396317,1.7059023932804096e-05,0.05179119754350051,0.9711735486408677,0.9889905139628354,0.9779810279256709,0.9507508415739254,3.7108004093170166,0.7679322648030185,0.6000022888183594,0.7158523189569851,2.4186747074127197
86,0.9764004153978529,0.953889030521012,0.984100341796875,0.9542127644354026,0.9996444427323475,0.023522187847585717,0.0003555418093130034,0.047967228319678465,0.971506325237377,0.9880611351715506,0.9761222703431013,0.9540342597555742,3.35410475730896,0.7862754784226803,0.600006103515625,0.6552424070706818,2.343070924282074
87,0.98286095625823,0.9662995067444854,0.9882659912109375,0.9684356786701459,0.9977224585562223,0.01654541535020555,0.0022775263608216232,0.032518853695324285,0.9791000072086149,0.9905885291444864,0.9811770582889728,0.9672587912949,2.184034824371338,0.5802283921333857,0.5999984741210938,0.40636108773918495,1.3416407108306885
88,0.9834343892138991,0.9674086736550319,0.9913991292317709,0.9687156041934651,0.9986073333079872,0.011076641262527736,0.0013926467970585947,0.03224972147063505,0.9826440759582846,0.9937653559702069,0.9875307119404136,0.9682321741036173,1.0816594362258911,0.4309417785435755,0.42426300048828125,0.22126861952067214,0.8485205769538879
89,0.9765356779509481,0.9541472593747586,0.9905751546223959,0.9541472593747586,0.9999999740657183,0.011724212037252928,0.0,0.048056225524520865,0.9706430792021205,0.9941378939813735,0.9882757879627471,0.954147282985252,1.529708743095398,0.5045556383925556,0.5999984741210938,0.21527774218595538,0.8485300540924072
90,0.9666764633584337,0.9355022208245212,0.9890594482421875,0.9355302727059202,0.999967916667695,0.012998162041750328,3.20512810239974e-05,0.06891025641025642,0.9601405370067628,0.9934848933386128,0.9869697866772257,0.935524175522056,2.830195665359497,0.5779317342722485,0.5999984741210938,0.2696864080645242,0.9000015258789062
91,0.9741981229712409,0.9496942292531295,0.9883677164713541,0.9496942292531295,0.9999999768384488,0.014905528700439093,0.0,0.05297046902142444,0.9666958611183628,0.9925472356497804,0.985094471299561,0.9496942501429766,1.5297094583511353,0.5225828811595465,0.5999984741210938,0.2307912470366962,0.8999969482421875
92,0.9773283434485164,0.9556619049599283,0.9874674479166666,0.9556962992262817,0.9999623241896722,0.01715715299165033,3.765698183696444e-05,0.04635574551411195,0.9754835191178342,0.9914025950132563,0.9828051900265127,0.9556821357480412,1.5000015497207642,0.5276815224740936,0.5999984741210938,0.20377850043633994,0.8485327363014221
93,0.9797987366911766,0.9603974940330803,0.9905344645182291,0.9603974940330803,0.9999999778422819,0.012285693456526777,0.0,0.04123551439143826,0.9736212264202035,0.9938571532717366,0.9877143065434733,0.9603975144705483,1.2369331121444702,0.4838199938278442,0.42426568269729614,0.20282626950343288,0.8485313653945923
94,0.9816608647613979,0.9639822636605142,0.9909006754557291,0.9640599008565236,0.9999164456527839,0.012002178465992629,8.353346385019393e-05,0.03727680902161428,0.9812086657744484,0.9939571440350786,0.9879142880701572,0.9640326986425274,1.0816657543182373,0.4541974672188963,0.42426300048828125,0.2037195128191049,0.8485260009765625
95,0.9788108462631766,0.95850102077703,0.9885152180989584,0.9585538715160662,0.9999424610794069,0.015610721792632004,5.751974734412633e-05,0.0432356775826367,0.9773162716372364,0.992165879230012,0.9843317584600239,0.9585327920875373,1.341638207435608,0.4894258945466335,0.5999908447265625,0.2062981336843952,0.8485313653945923
96,0.976794414319864,0.9546414014839238,0.9900563557942709,0.9547743136147044,0.9998541747702622,0.012537309511776262,0.00014580092958298675,0.04736100311041991,0.9704712130169982,0.9936584447793204,0.9873168895586408,0.9547352511320277,1.5000046491622925,0.5361773747786867,0.5999984741210938,0.31588234294466877,1.1999969482421875
97,0.9770754031745117,0.9551783251734649,0.9888661702473959,0.9554522170356339,0.9996999550028941,0.014505318520088576,0.0003000235668511762,0.046610805134689154,0.9767514793358003,0.9925973289565301,0.9851946579130602,0.9553575037515949,1.341644287109375,0.5720064502936516,0.5999984741210938,0.3443341760892375,1.081667685508728
